,id,username,text,date,predict
10260,1286408588458688513,saintlonewolf,mix top qanons wearamask entanglement ramaphosaresigns tshegofatsopule youtubeban ygesupportbigbang unemployment uzalo isibaya ps5 alllivesmatter haloinfinite hushpuppi kanye kanye lfcchampions bbliveblog pic twitter com pmzfghoess,2020-07-23 17:11:22 EDT,POSITIVE
272,1288434072029626369,aleishatipton,7 hours vote see halo theouterworlds rampage prototype twitch supportsmallstreamers smallstreamersconnect consolestreamer playstation xbox streamerhype twitchsfinest smallstreamersr smallstreamersc,2020-07-29 07:19:55 EDT,NEUTRAL
2006,1287231823182016513,silly_squares,hey halo halo mcc kind big bug playing halo 4 gf played co op got first terminal requiem took us halo channel app booted us game went continue mission told us start halo 343industries,2020-07-25 23:42:36 EDT,NEGATIVE
495,1288241489655496704,reachwarrior123,hey guys reach check halo series infinite road play halo leading release haloinfinite,2020-07-28 18:34:40 EDT,POSITIVE
7662,1286334419926564864,kbakini,halo infinite looking amazing thoughts haloinfinite halo xbox gaming xboxgamesshowcase xboxseriesx,2020-07-23 12:16:39 EDT,POSITIVE
11994,1286364363914436608,fadedfps,would nice able gotten play demo ourselfs show looked good haloinfinite,2020-07-23 14:15:38 EDT,NEUTRAL
6481,1286447402325430272,bangtanchiri,happy birthday ph1boyyy blessed know music talent always remember special many people love support always favorite artist drawing happyph1dayyy ph1 fanart digitalart halo pic twitter com ukzgi3zad6,2020-07-23 19:45:36 EDT,POSITIVE
11556,1286372644330385408,dano_sawr,haloinfinite retconning series happening cliffhanger halo 5 played campaign could loop entirely,2020-07-23 14:48:32 EDT,NEUTRAL
3150,1286709075997110272,fulcrum_report,see new haloinfinte trailer well boys revanwintersol1 fulcrumgilbz talking live reaction come check fulcrumreport fulcrumreview halo sdcc2020 pic twitter com 2srri1c0gg,2020-07-24 13:05:24 EDT,POSITIVE
2854,1286797957690535942,oujastrike,going reinstall halo mcc halo 5 completed 4 5 yet,2020-07-24 18:58:35 EDT,NEGATIVE
9548,1286435664003608578,naxtahn,haloinfinite art style fucking point sprint god dammit come oooooooon love god make campaign,2020-07-23 18:58:57 EDT,NEGATIVE
378,1288307445379588103,meechflow,trying get new subscribers twitch come hang playing old school halo smallstreamersconnect smallstreamercommunity smalltwitchstreamer pic twitter com p4erclvumh,2020-07-28 22:56:45 EDT,NEUTRAL
662,1288164091069181953,sarim23,know everyone wants happen halo,2020-07-28 13:27:06 EDT,NEUTRAL
6510,1286443946604994560,phantommm_uk,get hate halo infinite looks like return classic halo big open maps one best parts original trilogy much cleaner simpler art style needed halo 5 halo ever insane graphics anyway haloinfinite halo,2020-07-23 19:31:52 EDT,NEGATIVE
1731,1287480708953305088,reitobaby,halo nugu group twitter hashtag emoji like,2020-07-26 16:11:35 EDT,POSITIVE
1157,1287840179240275968,michaelpedro,various architectural sketches studies exploring forerunner aesthetic halo 4 multiplayer map solace sooo many interlocking pieces conceptart halo scifi pic twitter com kbu9cftx7f,2020-07-27 16:00:00 EDT,POSITIVE
